"","text"
"69","   expected  "
"70"," love  echo          dont    smart  home    speak   function   else    "
"71"," sound    packageeasy  set     fun  own"
"72","  sounds "
"73"," sound  amazing   collections   music"
"74","setting "
"75"," doesnt  listen"
"76"," awesome"
"77"," bought     control fios television    im hoping  time      control fios   discovered     alexa   play music     sound  alexa play games play radio stations play  time radio programs    ranger alexa   apps   add   abilities   day  played madlibs  fun  alexa  control household appliances   purchased alexa compatible power strips  control lighting fans  tv components im looking forward  implementing  controll    add  alexa components   chosen music  play      components  located"
"78"," speaker  excellent sound   perfectly"
"79","   "
"80"," love    "
"81","   little nervous   received   echo  im   tech savvy  found   bit intimidating     didnt      figure   im  happy   purchase   thinking  adding  echo spot"
"82","     learning    "
"83"," technology cant believe  speaker volume  quality   wonderful wish   bought  "
"84"," purchased  echo dot   husband  fathers day     constantly   hearing  quality  sound   echo nd generation    nobrainer   gift "
"85"," fine"
"86",NA
"87"," music"
"88","fun    sound quality"
"89"," echo     able  sync     amazon music devices"
"90","    dont  amazon  charge  cent  unlimited music     prime   buy  echo"
"91","   echo dot  echo     fuller sound   setup    phone calls      contact list   "
"92"," speaker sounds  "
"93"," sound  "
"94","love   alexa  am   savvy  support   helpful  patient"
"95","love    thinking  getting     prime day discount  offered    pass    fun   alexa  play  song     comes    playlist  amazon prime music    connect  iphone  bluetooth  play music  pandora  youtube videos using alexa   speaker ive   fun  alexa  types  questions   information  weather news    time   countries   downside     limited data   wifi plan  alexa  burns    playing music"
"96","         lot  try  "
"97","love   am using  strictly  music    "
"98","love  echo   love  size material  speaker quality    hooked    light easily     additional lights  thermostat   echo dot  bedroom    lot     echo    traffic weather trivia etc"
"99","love "
"100"," entire family loves alexa echo shes      family"
"101"," fun getting     functions   product  wow  family fun  homework help  talking   grandchildrenwho    echo   huge bonus  cant wait  learn     "
"102","love "
"103","awesome  love alexa"
"104","  exactly  expected   speaker   sound   perfect   classroom"
"105","love love   little gadget      lives   easier      own personal secretary living    home   hardly   cds anymore  alexa plays         alexa dots soon     thanks"
"106"," speaker   surprising quality happy   purchase"
"107"," easy  set   wonderful   love "
"108","im  impressed   sound quality  playing music   device   bass sounds    coming   bigger speaker  props  amazon"
"109","    productbut  sound quality   worsedont   wrong  definitely       hour   definitely feels  echo gen  sound quality  betterbesides    greatwith  addition   able  play   bluetooth   wifi   "
"110"," outlet       disappointed  "
"111"," device responsive  helpful"
"112","sound  terrible     music    bose"
"113"," liked  sound    troubling    paid extra money   access   million  songs sometimes  doesnt  ex alexa play italian songs  dont   don   understand  play  opera tosca response  sorry  don   "
"114","easy  set     bad     plugged    nice    outside  operate  battery  recharged"
"115"," learning           real hit   grandkids     play music   dance       yrs   cute"
"116","    stars     product    doing       playing music setting timers   calls reason   didnt rate        sometimes  connection dies   echo stops playing music    red ring     connection issue overall  product"
"117","  upgraded  echo dot   size echo couldnt  happier"
"118"," alexa  else   "
"119","upgraded   lilttle echo dot happy  sound"
"120","excellent product set   ease  "
"121","ive    gen echo              purchased  nd gen  prime day    im happy      improved speaker  provides enhanced sound  music  "
"122"," love  echo smart speaker   love  volume  clarity    easy  set     wonderful gift   age"
"123","wonderful product  fast delivery"
"124","initially harder  set  called tech wasnt  knowledgeable   "
"125","   easy  set    family love "
"126","  sound    responsive  voice  commands"
"127","   live     echo     enjoy  music style     alexa    upgreade   wireless  love  echo  love   alexa "
"128"," cool product speaker sounds    spotify blasting  "
"129","   fun  alexa love  able  listen  music  im     busy doing  else"
"130","        nice item  picks    voice  understands       day        music       heard   fine ive     listen  music  check  weather          "
"131","love  echo"
"132"," love itshe   helpful     remembering   sleep                week   learning "
"133","    st gen    except      miss  ring   top  volume control    quicker  easier   grab  top  twist    look   buttons         press    times    wish  bass   bit         device  im happy  "
"134"," love   alexa"
"135","     "
"136"," am thoroughly enjoying  ecoo  love    read  audiobook      office     simply   audiobook   kindle  continue   elsewhere wonderful  listening  music     mood   book   setting reminders       "
"137"," love "
"138","love "
"139"," love  sound quality   unit      sound"
"140","    listening  talk radio   morning   lights    etc  system   excellent job    house sound system streaming sirius"
"141","      week   am  learning   alexa       learning process   love  music   call   time   listen  podcasts  radio stations     started keeping shopping lists  grocery lists   love   dont   search  paper  pencil  getting time  temperature       wait  weather reports   sound     am  fussy  woofers tweeters base  etc   echo  fine     afternoon  am   try dropping inon  son    home    surprise "
"142","  features"
"143"," sound quality  features  product multi  music   cool"
"144","cool"
"145","    echo        bought  echo  qvc"
"146"," annoying     alexa   able      downloaded  spend    time trying  figure    phrase    machine       look   yourself"
"147","   alexa   beginning   accidentally spilled water     replaced    nd generation   decided  couldnt    echo  setup  easy      minutes"
"148","   able  tell alexia  music    hear  sometimes   trouble finding  song   am   specific   title"
"149","   looks    original echo   moved   echo   basement family  nice sound"
"150"," echo  wonderful  im  learning     music requests  somewhat limited"
"151","doesnt  half    cant recognize  sprinkler wifi controller   product details    compatible cant program  change  wifi thermostat settings   matched    wifi router   handy music player thats    amazon music"
"152","love "
"153","awesomeunderstands  kids"
"154","  pleasantly surprised   sound quality    features  nice  easily hear  particular artist  hear  books    simple command looking forward  exploring  options   device"
"155","met  exceeded  expectations easy set     quick  responses"
"156","           music  prime     request  alexa  liked  informative photo little pamphlet  wish  included   connect  tv etc   commands  alexa    love   music"
"157","   found    access  echo thorough  prime account          top line  video music etc      setup app   define  example music      integrated  echo    tried     playlist  echo       set  play list   settings           words    exact match   playlist names     rememberi   ready nature  echo  respond    queries"
"158","   item   added audible books  makes    thank "
"159"," prime day  nd gen echo   sale   couldnt resist    beginning   smart home set    couldnt  happier    alexa    amazing job connecting     smart devices thanks     control  lights smart plugs tv etc    trouble connecting  echo   wifi   phone  app  perfectly fine     add skills routines smart devices timers     sound quality        am   audiophile alexa  hear  voice   watching movies    volume design    modern   definitely add  nice touch   home    change  covers  youd       sale overall     addition   home  enables   possibilities   havent     add alexa   home"
"160","versatile  fun "
"161","  killer speaker  wife  son love "
"162"," regret waiting    purchase  item    surprised  pleased   sound quality"
"163","stopped    weeks didnt follow commands  fun    "
"164","  love    getting   set  love  grocery list app"
"165"," performs pretty   expected   am  disappointed    provide    terminology    play various kinds  music  subscribing   amazon music service   understand  music choices   limited   knowing      access  music   provided free    echo purchase      chart   language    "
"166","easy  set "
"167","   product except   speakers     quality  expected"
"168","  investment alexa  helped      laugh"
"169","  exho   home  love  "
"170"," love    plan  gender  music   band  jazz  easy    local radio sound      stop    voice command     phone call"
"171"," value"
"172","super easy set   am loving   echo"
"173","whats      speaker    alexa"
"174"," fathers day gift dad joked   mom  alexa     listening     repeated stories  forward"
"175"," addition   breakfast  kitchen  tunes  information instantly available  slowly learning  features"
"176","sound quality"
"177","sad joke worthless"
"178","entertainment"
"179","  quality"
"180","  sounds    miss  beat wish    battery   portability"
"181","loved  till  stoled  cant afford  replace     am  "
"182","alexa rocks"
"183","    gift  love      bought          allows   play music     amozon prime music   thats worth         news briefs  tells jokes"
"184",NA
"185"," mom bought   echo dots  repeated       hers       told     days        hours     live  life      amazing       speakers     echo dot     returning      youre     alexa speaker      echo otherwise toull  returning   echo dots  couldnt live "
"186","love   product"
"187","easy set   user friendly"
"188"," disappointed alexa    plugin  wall socket   time   fault   checking     assumption   company  technologically advanced  amazon  sell  product   rechargeable battery     return      apple music  boom speaker    flexibility  alexa"
"189"," dont    nd gen  sounds     st       aux     add  external speaker           wouldnt     dot  nd issue   isnt unique   unit   dont understand   cant override  default  prevents   playing  blue tooth speaker  playing            delay  using  bt speaker      units       heard     able  play     using  bt speaker"
"190",""
"191","   interaction   questions  dont    cant    setup schedule      connected lamp"
"192","supberb sound definitely worth  extra money   listen  lots  music"
"193","  love  amazon echo    sound quality       lot  fun      handy  music    updates   weather  sports"
"194","love      grandkids"
"195","        intuitive     link  devices  skills  getting  hang  "
"196","  advertised"
"197"," love "
"198","love   addition   house speaker quality       love  alexa      complaints  suggestions   future series    communication ability example   smart lights   house unless  specify kitchen light   kitchen light  prior   command   wont respond    doesnt recognize         alexa  respond    thank  afterwards    repeat alexa thank     times  wont respond      husband    sounds odd  laugh    maybe   southern      alexa   manners "
"199","     music  trivia games  weather"
"200"," described  received  time     automatic enrolment  music"
"201","  device"
"202"," owned  echo  overa     lacks  easy   increase  decrease volume  telling   increase  decrease volume   hard     wife  english    language   born  korea   sound   echo  superb    "
"203","love       kitchen   "
"204"," nice  im impressed  wish      "
"205","love  product nice   easy access    info"
"206","   sound  bass   doesnt     time   hot  miss   recognizes "
"207","   discovering    echo  "
"208","amazing paroduct"
"209"," hearing range  sound quality    bit complicated  set    doesnt  understand   lot    am speaking slowly     love  flash briefing feature  interfacing   abode home security system"
"210","speaker sounds "
"211","absolutely love"
"212","     product    control  thermostat  lights   house   isnt   dislike"
"213"," thoroughly enjoying  amazon echo installation  easy using  alexa app  purchased  kasa smart plugs  control  living  lights installation   easy using  kasa app  sinqued     echo  enjoying playing music   echo   sound quality  awesome weve added  kasa smart bulb   kitchen setup  seamless  looking forward  adding  automation   home"
"214","home entertainment"
"215"," cool product easy  setup fun    sound quality      anticipated"
"216","love    sound easy  connect  "
"217","doesnt    fairly  smart tv  thats mainly  tv manufacturerslg fault due   supporting    tvs     smart locks    additional piece  equipment    connect   speakers sound     "
"218"," sound   little speaker"
"219"," enjoy "
"220",NA
"221","cool"
"222"," quality  sound quality"
"223"," perfectly"
"224"," product sometimes alexa   understand  commands   fire tv       fabulous speaker"
"225","love  echo  sound  smart"
"226","   love  "
"227","plays "
"228"," absolutely "
"229"," amazing product  sound quality"
"230","  ive invested     thank    "
"231"," am extremely impressed   item bought     warehouse    outlet     minor imperfection cant tell       didnt   packaging    sealed     damage  wasnt missing     sound quality    knock     bose        family easy   minor learning curve   learns  voice  integrates seamlessly    amazon servicescant wait     classroom    lot  fun     speaker     plan    "
"232"," love  echo          bedroom   wonderful music info sleeping sounds"
"233","awesome life changer seriously  am able  start  morning  alexa     wake      alarm   playing   music   gotten    voice            listen       love   echos dont hesitate      price  speaker  unbelievable  am buying  cordless holder      echo  love  purchase  love alexa"
"234"," am  super impressed  alexa   prime lapsed  wouldnt play   isnt smart   differentiate  spotify accounts   cant       randomly speaks     talking      unplugged hernot  ill    alexa "
"235","     "
"236","liked "
"237","   issue  buying  electronics            read  comment      "
"238"," family  loves   echo"
"239","bought   wife  loves "
"240","fun        pod     car        house"
"241","    "
"242","   third echo worth  penny     household employees    flat rate      bedrooms   living    dropin      intercom listen  music answer quick questions alarms  wake   school etc"
"243","listen music  set timer"
"244"," received  echo  perfect condition  device  easy  set   responds quickly    issues alexa    addition   family"
"245"," sound    music  scheduling      random  recorded       jokes  cute"
"246","purchased     am  beginning  learn         am  pleased  amazed    actions   perform  am enjoying   looking forward  learning    options  provides"
"247"," echo            "
"248","funny   buy     looks fun   winds    totally useful    home  loving "
"249"," bought   replace   dot    living  speaker  slightly   hears     tv unfortunately  doesnt understand  respond   requests     dot  frequently   request    times          dot usually  exactly       request  dont consider   upgrade"
"250","     experience      generation echo        learn       time     am  enjoying  music weather updates using  alarm feature   personality    purchased  mini smart socket yes  am  excited  begin using "
"251","im  trouble connecting  tv    im  exactly tech smart im     grandsons  figure       ive  using    music"
"252","simply love  echo  hardly watch  tv   anymore im  busy listening  music speaker  pretty goo   size   fun skills    echo fun    family"
"253","enjoyed entire echo experience"
"254","easy  set "
"255"," echo   amazing device   times    intuitive     times         simple    result  installation  fairly straightforward   messed   times simply     step  complete   wasnt   actually   lose ground   figured     advice    patient   app        move     stepmy biggest issue   moment      echo devices   home         intercoms   am told       cant     echos aware    existence     alexa      answers  instructions   change  name        fault      designers  anticipate     easier     instructions    deal   device savvy people   challenge  "
"256","  loving ours  "
"257","   original alexa   tap     nd generation    im happy      improvements    oneit      updates   little ais     help   lot   bugs       am  happy       play music throughout   house  adjust  bass  treble thank "
"258"," pleased   echo nd generation    nice   alexa available  music weather news  probably  lot   havent discovered"
"259"," am pleasantly surprised   sound quality   echo      fan  deep bass     sufficient     potential  control  home   option   explore    evolve  home   smart home  voice recognition   impressive   stylish  fun    regrets   purchase     technically changes people    play  song   movie   responds instantly     elderly loved       gift  connected  wifi    simple       unlimited music control     amazon prime  premium spotify     blown    personal dj     conversations   echo  am  embarrassed    echo    laugh  couple times      tell   joke  tells    packages    am  amazon prime addict  comes  extremely  handy"
"260","easy  setup love     "
"261"," alexa throughout  housethe future  arrived"
"262","    alexa   amazon      resist getting  echo                  house  couldnt  happier"
"263","arrived  expected"
"264","bought    weeks ago      product  excellent  dont forget  buy  charger         outside   pool     worry  hiring  electrician    outlets    yard"
"265","terrific"
"266","love  echo"
"267","    original looks nicer "
"268"," "
"269"," husband       call  late adopters      technology   decide   try  echo  serve primarily   music source  wow   amazed    sound  weve      time listening     favorite songs buy   alexa     buy    elderly dad      enjoy    listen  music     calls  "
"270","   enjoyed   changing  directv channels plays iheartradio  pandora  adjusts  ac thermostat    living  lights  outside lights"
"271","            bought  prime day  absolutely love "
"272","   glad     echo   bluetooth speaker alexa     stuff    smart speakers    personally love  timer feature   helped   cooking multiple  simultaneously pandora integration   feature    daily  happy   prime day purchase     echo hub     echo dots   future"
"273"," subject line  love "
"274","love "
"275"," easy setup"
"276","  hesitant  buy  echo     echo dot       echo    except  sound quality    didnt feel     am  glad      difference  sound    superior   echo dot    listen    showman   little  power"
"277","sound quality    learning           fun"
"278","   deal     prime  setup   bit   pain    fault  crappy internet service      nice sound   speaker"
"279"," love "
"280","  perfect   office"
"281","love    inside house     pool       bose speakers  house "
"282","easy  useamazing"
"283","nice product "
"284"," love  echo   totally amazed   speaker quality  bummed  didnt buy       prime day"
"285"," responsive  sound quality   size"
"286","  efficient  amazing   cool        day"
"287","im impressed   quality  sound   echo   definitely comparable   bose mini     stars   cant   apple music account"
"288","technology     device  price     sound  amazing    feature   home"
"289","mainly     music  im learning    time    bad    "
"290"," replaced  st gen  concerned    unit     soundi  wrong       volume      product"
"291"," addition   echo plus"
"292"," "
"293","love  feature  play music     multiple echos"
"294"," love alexa   am surprised     "
"295","   product  enjoyment    love "
"296","easy      soundit    purchase    price"
"297"," easy  set     issues"
"298"," unit add  pleasure   echo plus      music  information   home     "
"299"," extremely useful  simple   spotify  audible      sometimes  doesnt answer       nice  "
"300"," difficult  set     timing     enter  password"
"301"," getting   using  echo    shopping lists listening  music    timer    "
"302"," cool  lots  fun    week   learning  capabilities"
"303","love  love "
"304","love     hard time setting    apps"
"305","     office     apartment  music  information"
"306","   music  little hard  figure    "
"307","         time   birthday gift   dad  loves   alexa     answer plus    homework   purchased   prime day   bathroom   im getting ready    listen  music  am   base  metro booming replacement   clock radio plus    echo dot   night stand   alarm clock"
"308"," impressed  look clarity  sound  color"
"309","alexa  amazing  speaker"
"310"," getting   alexa dont   connected   tv          music  information    "
"311","  sounds   house  barely sf     sitting   kitchen counter   hear   speak      lots  functionality   discover"
"312","   pure fun   echo  weather jokes news briefing  music            lot  fun   money"
"313","    time  especially  communicate  kids throughout  home"
"314","love   learning makes  lot   easier    forget    light            alexa    light "
"315","bought    daughter       loves    especially   calling feature   doesnt   cell phone   loves playing music  dancing   amazon music   play   favorite songs  sometimes       lol"
"316","     wedding gift  havent discovered    features   update playing music   "
"317"," am impressed   sound quality"
"318"," pleased   purchase  echo smart speaker  love      play music   genres whenever  wanthad  trouble     wi fi     "
"319","  wife   enjoy  ease  playing  music  games  fun  entertaining  look forward  adding  smart products   home"
"320","    echo   love   helps    kitchen   set timers listen   news prepare grocery lists    music"
"321"," sound quality    wish alexa  answer  questions"
"322","    echo    dot   speaker  weak   purchased    listening  music  speaker  "
"323"," sound"
"324",""
"325","       speaker  stream music weve    months    kinda useless"
"326"," set   user friendly setup wasnt  user friendly  id hoped  alexa app   able  download   pc  installing invasive  drivers  wife     retired   wouldnt   able  install alexa    son wasnt supplying    smart phone  wouldnt  using alexa "
"327"," easy set   enjoying "
"328"," echo doesnt    built  battery      plugged    times    makes   inconvenient"
"329"," compact   bit    original"
"330"," love  pretty cool"
"331","     living  music sounds     living     hear  upstairs"
"332","    product  set   easy  sound  wonderful"
"333","       bought     music    sounds pretty "
"334","love "
"335","love "
"336","glad  bought "
"337","  types  funmusic  "
"338","   volume      top       quickly"
"339","beyond  capabilities  program grandkids lve "
"340"," love   echo     hours  music  help   thingsit  difficult    set        help   tekkie"
"341","     bose love   house music"
"342","alexa hardly  "
"343","easy setup using  app    easy  install   phone   sound quality   listening  music  pandora  wonderful"
"344","im  learning     echo     love "
"345"," awesome"
"346"," "
"347","    speaker  sounds "
"348"," sound   size   prize   coursealexa"
"349","  dont   echo  definitely  "
"350"," device        st generation"
"351","item       months     connect  wifi  unresponsive  reset requests"
"352"," love  echo dot  easy  fun    drop    grandaughter  lives   miles  sounds       "
"353","       ones"
"354"," ones    kitchen  timermusic duty"
"355","love    volume  definitely   boost     built  speakers  definitively    star   ahead     audio auxiliary input   bought  dedicated speaker   echo proved      "
"356","  fine"
"357","  looks brand  love   echo dot    getting     main    house"
"358","  refurbished item        love easy set     love   issue   volume     listening  relaxing  fine      expecting    else   recommend  purchasing  speaker"
"359","   loud"
"360","   nd    love "
"361","  am     feel   echo dot                   questions   wont understand "
"362","  barely     select rd party apps   stuff youd        box im sending mine  asap waste  money"
"363","gift     doesnt      plug     pictures     cord  prefer  cordless      purpose  bought "
"364","   th amazon echo device    purchased refurbished    satisfied  time      cant tell   brand    price   cheaper   echos wake    timers play music   act  encyclopedias   lights       "
"365","  echo dot  amazing  sounds     greatit changes  nest thermostatand  phillips hue lightswithout leaving  chair"
"366"," talk     time  songs        arent dislikes   device"
"367","im  disappointed  amazons technology"
"368","  promised"
"369"," returned  echo dots  am  getting refund    returned    package    refunds          package      "
"370"," "
"371"," weird pauses   speech pattern        echo devices"
"372","  love alexa  lol  thank    price  product"
"373"," "
"374","im  echo fan      "
"375",NA
"376","bought   bathroom  listen  im   shower  love "
"377","doesnt  respond  spoken   promp word     connect   echo upstairs      intercom havent  able   "
"378","fast shipping   "
"379"," love "
"380","love love love    free assistant  "
"381","six words  alexa tell   poop joke "
"382","    month     stopped ive tried   try            refund"
"383","poor quality   "
"384","refurbished       echo    "
"385","love "
"386","  five      "
"387"," speakers arent  loud alexa    besides  naw"
"388","    sounds "
"389","       techie friend looked        adapter wasnt strong   power     looked     bought   dollar store   am   replace  adapter  hope   "
"390","   star trek   home  fun  try  outsmart "
"391","   add    echo system  refurbished product   "
"392","   office    daily     include spelling    background music"
"393","awesome  love alexa"
"394"," wasnt                extremely useful    youll love "
"395","initially  echo dot     time  dot stopped responding  alexa unless     foot   yelling   echosecho dots     respond   response   echo dot   recommend buying refurbished"
"396"," product fast shipping"
"397"," bought  echo dot    refurbished   stops whatever function  performing   doesnt wake   time randomly        buy  refurbished echo dot"
"398","perfect        refurbished"
"399","dont trust "
"400","perfect condition  love  echo"
"401","love  beautiful experience especially  hooked  smart lighting   accessories"
"402","       couple  weeks     tell  issues  son    alexa    th birthday    tell  jokes     questions   listen  music          enjoy        bought     week  prime deals day"
"403","divertido"
"404"," product   "
"405","bought    guest     radio alarm clock information center    "
"406"," buy bought      echo  love   speaker isnt    music      kitchen  timers  alarms"
"407",NA
"408"," perfect save   bucks  buy  refurbished looks brand "
"409","looks   perfect glad     deal"
"410","        bought   "
"411"," love    "
"412"," perfect"
"413"," price prompt shipping    flawlessly"
"414"," love  alexa"
"415","theres   improvement     price   complain      complain   audio  terrible      listening   speaknspell   "
"416","iove   bought    son       awesome"
"417","  echo       price   deal    issues       dots  speaker   bit tinny      unit         attach    external speaker   soundgood buy"
"418","thanks"
"419","       radio  intercom    terrible fm reception   live   speech recognition software  horrible   wife     native americans  language  english     north  am  texas  neither   accent   birth          job understanding    bought        additionally wifi reception  poor  marginal    buy wifi range extender  office     ten feet   router     switched    difference       disconnected dust collectors"
"420","   third dot    perfectly      multiple times  day absolutely love "
"421","item      box   broken spent  days trying      running   fixes   amazon    accomplished       refurbished device"
"422","    echo plus  bought     bedroom  love  functions"
"423","simple set   music "
"424","    brand  dot   am  satisfied"
"425"," product  returning   alexa dot  refurbished   giving    connection"
"426","    echos       refurbished  save   bucks     love   generation      rubber bottom  nice"
"427"," love      unplug       basement     laundry"
"428","refurbished        ones  ive bought"
"429","  "
"430","granddaughter loves "
"431"," price      trouble   hearing        moving    spot      fine   buy       "
"432","  set  alexa  blue tooth speakers  enjoy listening  music outdoors  cant wait  try   stuff using alexa"
"433","thanks"
"434"," "
"435","  buy certified  refurbished echo dot    bought   certified  refurbished   echo dot  unit   poor  receiving command  sometimes     acknowledge  command  buy  refurbished echo dot  unit  received  probably   certified  refurbished  indicated   bought   echo dot   perfectlyvery disappointed "
"436","started   amazon productsand  regret    absolutely  journey   products continue  improve  daytoday life"
"437","     months  "
"438","    smart device    surely  buying  devices    compatible   "
"439","love"
"440","love        "
"441","   larger echo   time  love  bought     portion   house     wifi home devices     voice control      house"
"442","love  product       lights  answer  quick questions"
"443","  buy"
"444"," leary  refurbished   "
"445"," puny sound   "
"446",""
"447","exactly    tell  difference    dot   prior     perfectly love alexa"
"448"," perfect  wear  tear   device  love alexa     home smart "
"449"," "
"450","    dont    shuts         "
"451","excellent product mint condition   refurbished unit        refurbished"
"452"," owning  couple  echos   frustrated   couldnt     intercoms finally amazon enables  dropin feature       echos  reach   family  remote    house  teenagers  insist   heard  yelling       dinneras    features  mainly   echos   standard stuff playing music setting alarms answering questions etc    lifechanging home device amazon    believe    convenient     refurb saved    bucks looks        brandnew ones"
"453","love   worried   refurbished         echo   awesome       lights    nights  shopping      spotify  planning  getting    parents  help    everyday     granted       recommend   "
"454","love alexa hope      soon"
"455"," simplicity    setting "
"456","       gazebo   upstairs"
"457","     issues"
"458","     "
"459","   sound"
"460","   echo  listen  music     sortof research tool   answer  variety  questions      volume     little bit louder   cant complaini  believe     internal power source      echo    plugged    times using  universal charging cord    nice    echo dot       buy   product"
"461","love    fun"
"462","love "
"463","outstanding     timeworks    "
"464","saving    nice   son    buying refurbished means   getting   device  product       run   diagnostics      corrected"
"465"," perfectly alexa      lights  tv roomba"
"466","     refurbished"
"467","   "
"468","looks  performs     complaints"
"469","goes    echo"
"470","          "
"471"," item    certified refurbished  mean    advertised instead  item crashed  soon       plugged    trying  connect   phone   echo dot  crashed        disconnect   orange light  freeze      reboot   blue light alexa  tell   ready  connect  freeze mid sentence tried holding  action button      didnt   returning immediately  hope  actually fix  item    buyer purchases "
"472"," fast service      thank "
"473","love    im  trying  figure           item      phone"
"474","none"
"475","   echos   bought brand       refurbished onehonestly  cant tell  difference  performance  looks"
"476","  productonce  learned    itthis   awesome"
"477"," "
"478","     time"
"479","love   wish   portable"
"480"," course"
"481","   tell   refurbished  excellent   highly recommended instead  purchasing "
"482","     mom   loves  "
"483"," love  echo dot looks brand    perfect  satisfied"
"484","  "
"485","      box   rep  amazon called  walked    reset process  solved  issues   shocked    response  quickly   real effort   including follow  email            google clone        learn           plan  install    car boat  garage alexa     friend loli  gf  worried   alexa learns  cook  time   limited"
"486"," love  alexa dot  play games   son    weather    love      amazon fire tv"
"487","         questions        intermittently   smart tv      change  volume      sometimes      change  channel    doesnt sometimes    reset   dont      refurbished   okay      expected"
"488","   certified refurbished echo dot      little confusing    green ring   echo dot          alexa         receiving  call  drop           minutes  figure     notification     delivery  amazon  believe  ring  supposed   yellow  pulsate   message notification    refurbished echo dot   green  pulsed"
"489"," arrived quickly   easy  set      refurbished amazon echo dot     beyond   expected  alexa     buddies     assistant"
"490","  advertised speak   research  commands    wall holder        set    breeze      close   device initially  connecting  phone   reason   set  easierthough    psychological haha"
"491","love   echo dots   third        gift   defective speaker   return process  isnt      weeks"
"492","ive  returned "
"493"," refurbished echo    wonderful  purchased    mother  loves  ability  contact    phone listen  music weather   questions    wonderful gift   excellently   "
"494","    price    week   purchased "
"495"," amazingly  bought    daughter   loves "
"496"," love alexa   helping    appointments playing  songs    else    looking forward  "
"497","    bathroom love    listen music whe  showering"
